year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Happ, J.A.,457918,Yankees,NYY,L,92,1304,2696,16.64197530864197530,0.48367952522255192,FF,4-Seamer,15.3,-16.5,1.2,7,8.1,-6.9,1.3,18,0.758139534883721,0.618604651162791
2019,Kikuchi, Yusei,579328,Mariners,SEA,L,92.5,1287,2721,16.79629629629629629,0.47298787210584343,FF,4-Seamer,16.1,-16.2,0.1,0,5.7,-7.2,-1.5,-20,0.544186046511628,0.327906976744186
2019,Greinke, Zack,425844,Astros,HOU,R,89.9,1272,3113,19.21604938271604938,0.40860905878573723,FF,4-Seamer,17.8,-17.4,-0.4,-2,2,-6.1,-4.1,-68,0.42093023255814,0.0930232558139535
2019,Teheran, Julio,527054,Braves,ATL,R,89.7,1265,3036,18.74074074074074074,0.41666666666666666,FF,4-Seamer,21.7,-20.2,-1.5,-8,6.4,-8.6,-2.2,-25,0.237209302325581,0.237209302325581
2019,Peralta, Freddy,642547,Brewers,MIL,R,93.6,1243,1599,9.87037037037037037,0.77736085053158223,FF,4-Seamer,14.5,-16.1,1.6,10,7.2,-7.7,-0.5,-6,0.832558139534884,0.423255813953488
2019,Mahle, Tyler,641816,Reds,CIN,R,93.3,1221,2211,13.64814814814814814,0.55223880597014925,FF,4-Seamer,17.3,-16,-1.3,-8,11.7,-7.7,4.1,53,0.255813953488372,0.916279069767442
2019,Gray, Jon,592351,Rockies,COL,R,96,1216,2373,14.64814814814814814,0.51243152128107880,FF,4-Seamer,18.3,-14.5,-3.8,-26,11,-7.9,3.1,39,0.0627906976744186,0.827906976744186
2019,Williams, Trevor,592866,Pirates,PIT,R,91.7,1208,2327,14.36419753086419753,0.51912333476579286,FF,4-Seamer,18.2,-16.9,-1.3,-8,6.4,-7.5,-1.1,-15,0.255813953488372,0.362790697674419
2019,Thornton, Trent,663423,Blue Jays,TOR,R,92.9,1203,2759,17.03086419753086419,0.43602754621239579,FF,4-Seamer,15.8,-16.8,1.1,6,3.6,-8.2,-4.6,-56,0.730232558139535,0.0674418604651163
2019,Lyles, Jordan,543475,Brewers,MIL,R,92.6,1194,2456,15.16049382716049382,0.48615635179153094,FF,4-Seamer,14.9,-15.5,0.6,4,6.9,-6.7,0.2,2,0.658139534883721,0.509302325581395
2019,Turnbull, Spencer,605513,Tigers,DET,R,93.6,1191,2661,16.52795031055900621,0.44757609921082299,FF,4-Seamer,20,-16,-4,-25,2.2,-7.9,-5.7,-72,0.0511627906976744,0.0372093023255814
2019,Pineda, Michael,501381,Twins,MIN,R,92.5,1181,2278,14.06172839506172839,0.51843722563652326,FF,4-Seamer,18.5,-15.7,-2.8,-18,6.1,-6.4,-0.3,-5,0.0976744186046512,0.448837209302326
2019,Nola, Aaron,605400,Phillies,PHI,R,93.1,1180,3332,20.56790123456790123,0.35414165666266506,FF,4-Seamer,18.2,-17.3,-0.8,-5,12.9,-8.7,4.2,48,0.341860465116279,0.923255813953488
2019,Bundy, Dylan,605164,Orioles,BAL,R,91.1,1178,2778,17.14814814814814814,0.42404607631389488,FF,4-Seamer,14.6,-16.9,2.3,14,5.2,-6.7,-1.5,-23,0.934883720930233,0.327906976744186
2019,Cashner, Andrew,488768,Red Sox,BOS,R,93.9,1138,2511,15.50000000000000000,0.45320589406610911,FF,4-Seamer,15.1,-15.5,0.4,3,7.9,-7.6,0.3,4,0.6,0.518604651162791
2019,Beede, Tyler,595881,Giants,SF,R,94.2,1137,2028,12.51851851851851851,0.56065088757396449,FF,4-Seamer,16.9,-15.6,-1.3,-8,10.5,-7.9,2.6,33,0.255813953488372,0.795348837209302
2019,Keller, Brad,641745,Royals,KC,R,93.7,1133,2711,16.73456790123456790,0.41792696421984507,FF,4-Seamer,17.2,-15.7,-1.5,-10,0,-7.3,-7.2,-100,0.237209302325581,0.00697674418604651
2019,Kershaw, Clayton,477132,Dodgers,LAD,L,90.3,1130,2672,16.49382716049382716,0.42290419161676646,FF,4-Seamer,14.6,-17,2.4,14,1.2,-6.1,-7.3,-120,0.941860465116279,0.00465116279069767
2019,Kelly, Merrill,518876,Diamondbacks,ARI,R,92,1106,2962,18.28395061728395061,0.37339635381498987,FF,4-Seamer,17.2,-16.8,-0.4,-3,4.7,-7.4,-2.8,-38,0.42093023255814,0.197674418604651
2019,Wacha, Michael,608379,Cardinals,STL,R,93,1089,2199,13.57407407407407407,0.49522510231923601,FF,4-Seamer,14.2,-14.8,0.6,4,6.8,-6,0.8,14,0.658139534883721,0.567441860465116
2019,Clevinger, Mike,605182,Indians,CLE,R,95.4,1067,2090,12.90123456790123456,0.51052631578947368,FF,4-Seamer,12.2,-14.6,2.4,16,5.3,-7.7,-2.3,-30,0.941860465116279,0.230232558139535
2019,Norris, Daniel,596057,Tigers,DET,L,90.8,1061,2361,14.66459627329192546,0.44938585345192714,FF,4-Seamer,17.2,-17.6,0.4,2,6.6,-7.3,-0.7,-9,0.6,0.390697674418605
2019,Pomeranz, Drew,519141,Brewers,MIL,L,92.8,1022,1956,12.07407407407407407,0.52249488752556237,FF,4-Seamer,13.8,-16.3,2.5,16,6.1,-8.2,-2.1,-26,0.958139534883721,0.251162790697674
2019,Brault, Steven,643230,Pirates,PIT,L,92.1,1013,2001,12.35185185185185185,0.50624687656171914,FF,4-Seamer,19.4,-16.8,-2.5,-15,9.3,-7.7,1.6,21,0.12093023255814,0.658139534883721
2019,Smyly, Drew,592767,Phillies,PHI,L,91.2,1011,2130,13.14814814814814814,0.47464788732394366,FF,4-Seamer,14.7,-16.6,1.9,11,5.4,-6.8,-1.4,-20,0.87906976744186,0.33953488372093
2019,Berrios, Jose,621244,Twins,MIN,R,93.1,1009,3132,19.33333333333333333,0.32215836526181353,FF,4-Seamer,17,-16.2,-0.8,-5,9.9,-7.8,2.1,27,0.341860465116279,0.734883720930233
2019,Richards, Trevor,670950,Rays,TB,R,90.8,999,2290,14.13580246913580246,0.43624454148471615,FF,4-Seamer,15.1,-16.8,1.7,10,7.9,-6.5,1.4,21,0.848837209302326,0.637209302325581
2019,Anderson, Chase,502624,Brewers,MIL,R,93.3,998,2392,14.76543209876543209,0.41722408026755852,FF,4-Seamer,15.1,-16.2,1,6,8.7,-7.6,1.1,14,0.720930232558139,0.590697674418605
