"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"297",664062,"Tony Gonsolin","705","42.1","0.182","0.052","0.222","0.234","0.186","0.276","0.248","14","77","89.4","18.7","2486","95.1","94.37","26","161","134","-0.7","5.88","114","161","114","149","297","321","295"
"333",477132,"Clayton Kershaw","888","37.5","0.196","0.268","0.171","0.464","0.289","0.308","0.241","11","56","90.2","22.0","2484","91.6","91.43","26","136","196","-0.2","6.31","110","158","112","147","299","319","291"
"25",543022,"Tyler Chatwood","333","7.5","0.500","0.000","0.667","0.500","0.486","0.496","0.487","2","4","86.8","10.0","2483","94.7","90.97","4","12","13","-3.7","6.19","114","159","117","150","291","328","303"
"451",628711,"Julio Urias","875","51.5","0.194","0.139","0.215","0.333","0.260","0.282","0.207","21","108","88.6","24.3","2478","94.2","93.33","57","231","220","-0.9","5.73","109","158","113","147","300","318","289"
"510",594798,"Jacob deGrom","1135","44.9","0.186","0.134","0.300","0.320","0.239","0.244","0.196","18","97","92.7","24.6","2477","98.6","99.81","95","257","251","1.2","6.96","114","148","123","143","295","318","295"
"18",453178,"Ian Kennedy","261","6.9","0.000","0.000","0.000","0.000","0.138","0.165","0.018","0","4","95.1","63.5","2476","93.3","94.07","2","9","9","0.8","6.60","103","157","120","147","303","338","302"
"558",453286,"Max Scherzer","1213","46.0","0.264","0.245","0.319","0.509","0.353","0.370","0.288","29","110","92.8","22.1","2472","94.7","94.48","82","281","272","-0.2","6.24","108","153","125","139","297","318","295"
"374",471911,"Carlos Carrasco","1101","34.0","0.226","0.170","0.289","0.396","0.313","0.332","0.253","12","53","91.9","20.5","2470","93.8","94.44","45","168","206","0.6","6.54","108","153","115","150","293","321","293"
"523",596133,"Luke Weaver","968","54.0","0.313","0.270","0.370","0.583","0.392","0.330","0.258","36","115","91.5","19.3","2467","94.0","93.41","52","255","266","-0.6","6.04","110","155","120","151","303","333","303"
"390",607644,"John Means","745","52.3","0.155","0.211","0.158","0.366","0.249","0.201","0.129","11","71","92.5","28.9","2458","93.8","93.41","54","187","199","-0.4","6.12","109","155","116","146","303","321","290"
"417",605540,"Brandon Woodruff","1211","34.4","0.194","0.155","0.333","0.350","0.266","0.222","0.153","20","103","89.0","24.6","2457","96.6","97.24","78","231","184","0.6","6.64","112","153","122","151","295","319","299"
"182",605397,"Joe Musgrove","673","27.0","0.324","0.351","0.310","0.676","0.430","0.369","0.295","12","37","88.9","25.6","2451","92.6","92.19","16","94","88","-0.4","5.85","109","154","122","149","296","318","298"
"253",666200,"Jesus Luzardo","940","26.9","0.180","0.320","0.125","0.500","0.310","0.343","0.250","9","50","92.9","16.4","2451","95.4","93.83","21","104","146","-1.6","5.58","108","149","120","149","301","322","294"
"232",607536,"Kyle Freeland","1124","20.6","0.306","0.139","0.313","0.444","0.352","0.341","0.296","11","36","86.2","8.2","2451","92.2","93.13","9","77","155","0.9","6.60","112","153","117","145","306","330","304"
"10",670056,"Caleb Baragar","349","2.9","0.000","0.000","0.000","0.000","0.000","0.101","0.097","0","3","86.9","26.0","2445","94.7","95.09","0","4","6","0.4","6.62","114","156","111","150","290","313","292"
"627",571760,"Andrew Heaney","1085","57.8","0.267","0.214","0.311","0.481","0.345","0.335","0.255","35","131","90.5","21.3","2436","91.5","90.93","79","315","307","-0.6","6.06","109","150","116","147","308","323","291"
"117",518876,"Merrill Kelly","473","24.7","0.250","0.250","0.267","0.500","0.342","0.262","0.196","5","20","89.6","30.1","2436","92.1","92.15","11","48","68","0.1","6.39","110","153","115","150","305","330","304"
"306",592826,"Vince Velasquez","650","47.1","0.242","0.242","0.343","0.485","0.366","0.312","0.210","16","66","91.0","27.2","2436","93.7","94.19","39","156","148","0.5","6.72","109","152","118","149","294","328","291"
"22",596057,"Daniel Norris","490","4.5","0.667","0.333","0.667","1.000","0.696","0.424","0.324","4","6","95.1","24.8","2436","91.4","90.67","1","11","11","-0.7","5.71","103","151","117","142","296","335","288"
"296",669373,"Tarik Skubal","591","50.1","0.259","0.276","0.286","0.534","0.347","0.275","0.198","15","58","92.4","27.1","2434","94.4","94.16","43","146","149","-0.2","6.29","107","150","118","143","298","328","285"
"1",446372,"Corey Kluber","18","5.6","null","null","null","null","null","null","null","null","null","null","null","2431","91.5","92.30","0","1","0","0.8","6.70","123","166","137","155","290","332","304"
"308",669432,"Trevor Rogers","568","54.2","0.314","0.314","0.429","0.627","0.434","0.304","0.196","16","51","88.8","26.2","2426","93.6","93.98","38","128","178","0.4","6.79","101","148","113","147","301","323","295"
"482",592662,"Robbie Ray","1064","45.3","0.277","0.366","0.279","0.644","0.451","0.424","0.274","28","101","91.2","24.8","2426","93.9","93.95","36","183","297","0.0","6.40","105","151","118","148","296","323","298"
"107",657140,"Kyle Wright","641","16.7","0.316","0.211","0.313","0.526","0.409","0.468","0.409","6","19","90.2","8.4","2425","94.7","94.55","8","41","66","-0.2","6.20","109","148","109","152","302","331","302"
"342",605164,"Dylan Bundy","1018","33.6","0.241","0.205","0.279","0.446","0.322","0.286","0.220","20","83","89.1","29.7","2422","90.0","89.20","32","170","168","-0.8","5.83","115","153","114","151","307","321","301"
"31",672715,"Luis Patino","349","8.9","0.429","0.000","0.600","0.429","0.413","0.290","0.255","3","7","93.5","6.4","2422","96.1","97.62","2","15","16","1.5","7.18","118","152","117","150","298","328","306"
"42",642547,"Freddy Peralta","553","7.6","0.333","0.333","0.400","0.667","0.446","0.298","0.223","2","6","97.3","18.4","2421","91.3","93.24","5","16","26","1.9","7.30","117","165","126","145","296","322","306"
"24",608665,"Kendall Graveman","329","7.3","0.286","0.714","0.500","1.000","0.496","0.090","0.073","2","7","92.9","19.7","2416","93.8","93.68","4","10","14","-0.1","6.33","113","156","124","147","281","322","289"
"87",670970,"Adrian Morejon","322","27.0","0.333","0.556","0.231","0.889","0.508","0.400","0.277","6","18","85.1","4.6","2413","96.5","96.38","7","38","49","-0.1","6.22","115","154","121","148","306","335","314"
"584",607192,"Tyler Glasnow","964","60.6","0.246","0.214","0.276","0.460","0.337","0.330","0.242","31","126","91.8","18.4","2409","96.9","97.64","73","303","278","0.7","7.65","110","152","115","146","299","321","293"
"30",669145,"Bruce Zimmermann","107","28.0","0.333","0.500","0.250","0.833","0.500","0.433","0.273","2","6","91.1","20.4","2407","92.3","92.20","0","11","19","-0.1","6.34","105","155","115","148","303","323","298"
"438",605483,"Blake Snell","872","50.2","0.310","0.299","0.339","0.609","0.422","0.393","0.307","27","87","90.7","15.6","2404","95.0","96.24","50","214","222","1.2","7.13","106","157","114","149","300","319","292"
"60",608328,"Chase De Jong","143","42.0","0.364","0.273","0.273","0.636","0.403","0.339","0.265","4","11","84.4","17.6","2401","93.0","91.98","2","27","33","-1.0","5.84","107","156","116","151","302","325","303"
"90",640470,"Adbert Alzolay","387","23.3","0.222","0.333","0.143","0.556","0.375","0.400","0.204","2","9","96.1","32.1","2399","94.3","94.14","5","38","52","-0.2","6.21","108","153","110","149","293","325","299"
"276",518516,"Madison Bumgarner","710","38.9","0.274","0.274","0.250","0.548","0.378","0.443","0.324","17","62","91.3","20.6","2395","88.4","88.39","10","119","154","0.0","6.87","104","153","118","149","304","332","301"
"10",672578,"Carlos Hernandez","255","3.9","1.000","3.000","null","4.000","1.315","1.261","1.000","1","1","106.2","28.0","2394","95.4","96.84","0","3","7","1.4","6.97","109","157","112","147","305","326","306"
"274",448179,"Rich Hill","619","44.3","0.245","0.226","0.256","0.472","0.334","0.399","0.293","13","53","90.2","22.4","2393","87.8","87.81","16","92","182","0.0","6.29","101","152","115","148","298","331","297"
"276",669211,"Keegan Akin","500","55.2","0.228","0.088","0.353","0.316","0.265","0.307","0.236","13","57","93.1","19.0","2393","91.9","90.72","44","141","135","-1.2","5.75","106","154","120","146","300","322","295"
"18",592464,"Mike Kickham","262","6.9","0.250","0.000","0.333","0.250","0.218","0.153","0.113","1","4","93.9","20.3","2391","89.2","89.79","1","9","9","0.6","6.68","101","149","117","144","304","324","301"
"10",595001,"Josh A. Smith","426","2.3","0.500","0.000","0.500","0.500","0.520","0.361","0.218","1","2","89.5","21.5","2390","90.4","90.61","0","5","5","0.2","6.47","103","149","115","148","303","334","292"
"434",641816,"Tyler Mahle","852","50.9","0.226","0.214","0.302","0.440","0.335","0.304","0.202","19","84","89.4","30.6","2389","93.9","94.37","66","203","229","0.5","6.62","113","153","119","153","292","320","295"
"219",593423,"Frankie Montas","914","24.0","0.170","0.149","0.273","0.319","0.239","0.225","0.168","8","47","89.3","19.0","2384","95.9","95.22","31","93","126","-0.7","5.96","107","150","122","149","302","326","297"
"5",605155,"Colten Brewer","506","1.0","0.500","0.000","0.500","0.500","0.435","0.698","0.775","1","2","99.2","11.5","2383","94.0","94.32","0","4","1","0.3","6.36","109","150","124","147","290","325","287"
"21",650633,"Michael King","470","4.5","0.250","0.750","null","1.000","0.526","0.494","0.248","1","4","105.3","26.0","2382","93.7","93.20","5","8","13","-0.5","6.17","115","148","119","150","283","317","292"
"49",663423,"Trent Thornton","131","37.4","0.636","0.091","0.700","0.727","0.567","0.445","0.447","7","11","89.0","17.1","2380","92.1","92.38","1","25","24","0.3","6.23","108","156","114","145","301","321","290"
"436",668678,"Zac Gallen","1117","39.0","0.185","0.065","0.254","0.250","0.255","0.295","0.213","17","92","87.8","20.0","2380","93.2","93.57","24","141","293","0.4","6.66","108","155","119","150","302","333","303"
"18",596071,"Dillon Peters","36","50.0","0.000","0.000","0.000","0.000","0.000","0.114","0.069","0","3","80.9","47.5","2372","90.6","89.91","1","7","11","-0.7","5.77","119","147","119","150","320","320","304"
"349",457918,"J.A. Happ","787","44.3","0.210","0.242","0.225","0.452","0.332","0.281","0.194","13","62","88.1","27.7","2371","91.6","91.19","32","145","202","-0.4","6.18","109","152","117","149","297","323","285"
"36",605138,"Wes Benjamin","389","9.3","0.273","0.000","0.333","0.273","0.237","0.305","0.303","3","11","89.4","17.3","2370","90.7","89.56","2","18","18","-1.1","5.87","103","155","110","151","303","321","294"
"62",642528,"Jonathan Loaisiga","394","15.7","0.250","0.083","0.300","0.333","0.310","0.378","0.295","3","12","92.6","9.2","2370","97.0","97.27","3","31","31","0.3","6.42","113","152","119","150","286","319","287"
"28",664126,"Pete Fairbanks","490","5.7","0.000","0.000","0.000","0.000","0.000","0.195","0.217","0","3","84.7","12.0","2369","97.4","98.55","6","16","12","1.2","6.96","104","155","121","147","299","320","304"
"123",592346,"Chi Chi Gonzalez","347","35.4","0.333","0.286","0.353","0.619","0.437","0.423","0.358","7","21","92.7","14.6","2361","92.0","92.04","5","41","82","0.0","5.91","118","152","116","147","303","335","305"
"525",664299,"Cristian Javier","889","59.1","0.214","0.250","0.193","0.464","0.322","0.315","0.227","24","112","90.1","24.1","2360","92.2","91.55","43","240","284","-0.7","5.94","116","157","116","152","288","324","301"
"393",656288,"Griffin Canning","965","40.7","0.305","0.280","0.317","0.585","0.383","0.327","0.235","25","82","88.9","28.3","2359","92.8","91.86","25","161","229","-0.9","5.80","111","151","114","149","308","324","301"
"392",594965,"Daniel Ponce de Leon","646","60.7","0.208","0.338","0.235","0.545","0.361","0.335","0.211","16","77","89.9","29.6","2356","93.1","92.85","71","206","186","-0.2","6.18","110","150","115","149","303","323","304"
"463",669456,"Shane Bieber","1238","37.4","0.210","0.100","0.345","0.310","0.249","0.267","0.222","21","100","93.6","22.5","2354","94.1","94.74","48","187","276","0.6","6.61","106","153","117","150","293","316","290"
"234",450203,"Charlie Morton","660","35.5","0.277","0.128","0.414","0.404","0.345","0.338","0.242","13","47","91.3","23.1","2349","93.4","93.57","30","119","112","0.2","6.53","109","154","120","149","300","320","297"
"329",641745,"Brad Keller","858","38.3","0.179","0.090","0.182","0.269","0.239","0.344","0.280","12","67","85.2","2.8","2349","92.8","92.83","17","151","175","0.0","5.95","116","159","118","148","301","326","305"
"614",608337,"Lucas Giolito","1214","50.6","0.201","0.104","0.271","0.306","0.256","0.280","0.222","27","134","90.3","16.9","2349","94.0","94.78","86","296","315","0.8","6.78","109","150","115","149","298","323","298"
"259",605182,"Mike Clevinger","649","39.9","0.236","0.327","0.222","0.564","0.335","0.381","0.307","13","55","92.4","17.4","2349","95.1","96.14","28","120","139","1.0","6.84","110","152","122","149","293","321","305"
"351",624418,"Ryan Castellani","757","46.4","0.243","0.297","0.211","0.541","0.393","0.423","0.323","18","74","92.0","19.7","2346","92.4","92.63","21","145","202","0.2","6.17","114","153","118","147","304","335","306"
"20",519455,"Jordan Zimmermann","108","18.5","0.000","0.000","0.000","0.000","0.000","0.249","0.223","0","4","85.0","16.0","2345","89.7","89.59","3","8","12","-0.1","6.07","103","150","104","146","307","327","299"
"248",675921,"Spencer Howard","439","56.5","0.280","0.120","0.333","0.400","0.324","0.317","0.272","14","50","89.1","14.5","2345","94.0","94.31","21","111","135","0.3","6.56","112","151","117","149","297","326","294"
"30",650644,"Aaron Civale","1201","2.5","0.222","0.333","0.200","0.556","0.312","0.288","0.200","2","9","86.4","12.7","2343","91.3","91.27","4","14","16","0.0","6.10","104","153","122","147","296","319","286"
"32",669160,"Dustin May","866","3.7","0.167","0.250","0.111","0.417","0.234","0.260","0.231","2","12","77.6","27.9","2341","98.9","99.22","4","20","12","0.3","6.52","119","165","138","151","292","321","298"
"195",664199,"Taylor Clarke","703","27.7","0.263","0.237","0.296","0.500","0.357","0.343","0.261","10","38","93.9","28.0","2338","94.3","93.81","17","83","112","-0.5","6.23","111","156","117","151","306","333","304"
"454",554430,"Zack Wheeler","1078","42.1","0.297","0.108","0.340","0.405","0.323","0.315","0.290","33","111","87.3","6.4","2336","96.9","98.59","49","245","207","1.7","7.15","111","152","117","150","295","325","297"
"206",656232,"Brandon Bielak","597","34.5","0.273","0.455","0.200","0.727","0.450","0.386","0.279","9","33","88.4","23.7","2335","93.2","91.81","15","84","122","-1.4","5.55","114","156","114","151","289","328","302"
"19",502706,"Derek Holland","719","2.6","0.000","0.000","0.000","0.000","0.000","0.008","0.007","0","1","86.2","77.0","2333","92.1","92.13","1","3","16","0.0","6.33","104","151","113","151","303","322","293"
"127",527054,"Julio Teheran","572","22.2","0.346","0.577","0.286","0.923","0.531","0.536","0.382","9","26","86.6","16.8","2329","89.3","89.44","7","41","86","0.1","6.28","115","152","116","154","302","324","298"
"10",623474,"Jimmy Herget","350","2.9","0.000","0.000","0.000","0.000","0.230","0.557","0.471","0","2","92.9","4.0","2329","94.2","91.54","0","3","7","-2.7","4.71","106","160","112","153","312","314","289"
"25",656970,"Devin Smeltzer","268","9.3","0.286","0.000","0.286","0.286","0.304","0.251","0.193","2","7","94.6","26.3","2329","87.4","86.96","1","10","15","-0.4","5.92","101","144","113","144","314","338","304"
"267",663474,"Triston McKenzie","550","48.5","0.210","0.145","0.289","0.355","0.274","0.305","0.228","13","62","89.2","23.8","2328","92.7","94.01","32","140","127","1.3","7.02","107","154","117","151","293","322","290"
"2",461325,"Tyler Clippard","416","0.5","null","null","null","null","null","null","null","null","null","null","null","2328","89.0","89.40","0","0","2","0.4","6.45","104","154","116","148","309","333","297"
"149",663878,"Nate Pearson","324","46.0","0.200","0.200","0.185","0.400","0.344","0.377","0.253","7","35","89.1","20.9","2327","96.1","97.07","10","63","86","1.0","6.86","104","153","117","147","303","318","295"
"214",656605,"Mitch Keller","385","55.6","0.184","0.211","0.167","0.395","0.345","0.403","0.244","7","38","92.1","13.1","2327","93.9","93.74","18","99","114","-0.2","6.08","113","150","115","149","292","317","299"
"133",642545,"Jaime Barria","511","26.0","0.286","0.321","0.286","0.607","0.402","0.298","0.238","8","28","89.6","23.5","2324","91.9","91.54","11","59","74","-0.4","5.90","117","157","117","150","313","325","304"
"437",425844,"Zack Greinke","1060","41.2","0.321","0.214","0.369","0.536","0.377","0.373","0.305","27","84","88.8","16.3","2323","87.9","87.60","19","131","304","-0.3","6.04","115","154","115","150","286","322","302"
"137",665152,"Dean Kremer","346","39.6","0.222","0.148","0.333","0.370","0.292","0.295","0.240","6","27","94.1","20.4","2321","92.8","92.51","16","65","72","-0.3","6.23","107","150","116","148","299","320","295"
"91",601713,"Nick Pivetta","290","31.4","0.273","0.136","0.357","0.409","0.334","0.347","0.253","6","22","94.5","26.3","2321","92.5","93.17","10","51","40","0.7","6.82","109","150","112","146","286","327","293"
"164",645261,"Sandy Alcantara","662","24.8","0.250","0.100","0.357","0.350","0.283","0.268","0.238","10","40","90.8","24.0","2320","96.9","96.09","21","87","77","-0.8","6.08","107","154","119","150","300","324","295"
"28",489119,"Wade Miley","285","9.8","0.600","0.400","1.000","1.000","0.669","0.387","0.291","3","5","84.0","30.0","2320","90.1","90.06","5","9","19","0.0","6.17","112","147","119","142","294","315","286"
"29",641582,"Matt Foster","436","6.7","0.000","0.000","0.000","0.000","0.115","0.373","0.325","0","5","94.8","11.0","2318","93.7","93.28","3","12","17","-0.4","5.93","118","155","117","152","291","319","302"
"45",595928,"John Curtiss","384","11.7","0.400","0.300","0.429","0.700","0.455","0.341","0.269","4","10","92.6","21.3","2317","94.0","94.50","9","25","20","0.5","6.66","112","166","128","143","312","324","297"
"22",673258,"Michel Baez","99","22.2","0.500","0.167","0.600","0.667","0.493","0.353","0.369","3","6","94.5","21.6","2315","95.1","94.83","2","12","9","-0.3","5.65","115","151","129","144","323","342","322"
"8",542882,"Matt Andriese","500","1.6","1.000","1.000","1.000","2.000","1.217","0.514","0.571","1","1","103.0","4.0","2314","90.4","89.49","0","4","4","-0.9","5.79","111","146","102","149","317","320","301"
"74",680692,"Jonathan Stiever","137","54.0","0.250","0.500","0.143","0.750","0.469","0.520","0.355","3","12","99.4","10.4","2313","92.3","91.03","6","40","34","-1.3","5.54","110","149","116","148","296","323","301"
"448",592332,"Kevin Gausman","975","45.9","0.286","0.162","0.375","0.448","0.345","0.353","0.295","30","105","92.6","18.3","2310","95.2","95.53","64","246","202","0.3","6.37","112","160","117","150","295","320","298"
"20",664285,"Framber Valdez","1049","1.9","0.000","0.000","null","0.000","0.345","0.345","null","0","1","null","null","2308","93.1","93.09","3","4","16","0.0","5.99","113","154","120","151","299","327","301"
"359",542881,"Tyler Anderson","954","37.6","0.243","0.243","0.241","0.486","0.354","0.335","0.252","17","70","89.1","31.4","2308","90.2","89.76","28","147","212","-0.4","6.02","108","155","115","147","298","321","293"
"15",668338,"Tyson Miller","76","19.7","0.333","1.000","0.000","1.333","0.664","0.769","0.527","1","3","95.9","7.3","2308","93.4","94.59","0","6","9","1.2","6.89","116","157","115","151","292","324","296"
"162",656794,"Sean Newcomb","300","54.0","0.448","0.310","0.478","0.759","0.518","0.418","0.341","13","29","84.8","21.7","2307","93.4","92.98","15","74","88","-0.4","5.93","105","150","112","151","308","333","298"
"546",571510,"Matthew Boyd","1086","50.3","0.322","0.322","0.322","0.643","0.425","0.378","0.300","37","115","88.4","20.0","2305","91.7","91.54","47","268","278","-0.2","6.14","106","151","116","143","300","326","286"
"93",657624,"Josh James","340","27.4","0.154","0.231","0.125","0.385","0.422","0.440","0.188","2","13","89.8","5.6","2305","95.5","95.40","6","25","68","-0.1","6.28","113","151","114","149","290","310","293"
"16",630023,"Yonny Chirinos","190","8.4","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0","4","67.5","68.5","2301","94.2","93.99","4","8","8","-0.2","6.49","102","141","109","146","290","315","304"
"142",656756,"Jordan Montgomery","747","19.0","0.400","0.200","0.500","0.600","0.435","0.370","0.331","12","30","92.3","16.4","2301","92.6","92.51","16","70","71","-0.1","6.18","113","151","119","150","296","322","285"
"133",592644,"Adam Plutko","446","29.8","0.297","0.243","0.273","0.541","0.363","0.349","0.322","11","37","91.8","19.7","2300","91.2","91.09","21","81","51","-0.1","6.17","109","156","121","150","293","313","297"
"68",458708,"Josh Tomlin","575","11.8","0.231","0.231","0.182","0.462","0.314","0.425","0.318","3","13","89.6","39.8","2300","88.2","87.20","3","29","38","-1.0","5.67","108","152","112","152","303","323","301"
"103",519144,"Rick Porcello","983","10.5","0.211","0.000","0.444","0.211","0.209","0.192","0.181","4","19","90.7","15.0","2299","91.6","91.21","10","52","51","-0.4","6.05","112","148","129","142","293","323","295"
"24",667498,"Robert Dugger","212","11.3","0.250","0.375","0.167","0.625","0.351","0.519","0.366","2","8","93.7","17.7","2299","92.7","92.31","1","10","14","-0.4","6.10","110","155","114","153","293","334","274"
"52",657240,"Julian Merryweather","233","22.3","0.083","0.083","0.167","0.167","0.219","0.257","0.138","1","12","90.1","12.5","2293","96.1","96.80","7","23","29","0.7","6.73","111","152","125","148","301","311","290"
"108",622065,"Alex Young","797","13.6","0.250","0.250","0.222","0.500","0.367","0.413","0.330","5","20","91.4","31.9","2293","91.2","90.13","6","42","66","-1.1","5.76","106","152","118","148","305","330","302"
"27",664180,"Matt Hall","210","12.9","0.600","0.200","0.750","0.800","0.624","0.479","0.414","3","5","87.2","19.8","2292","87.9","87.93","1","12","14","0.0","6.07","112","145","118","146","271","315","297"
"138",657053,"Touki Toussaint","491","28.1","0.143","0.333","0.071","0.476","0.378","0.415","0.239","3","21","88.0","25.4","2289","94.1","95.58","8","47","90","1.5","7.06","110","150","111","152","304","334","296"
"61",665621,"Rony Garcia","393","15.5","0.400","0.600","0.333","1.000","0.577","0.471","0.361","6","15","90.5","22.2","2288","93.4","92.74","7","27","34","-0.7","5.87","110","151","115","148","290","330","289"
"59",657141,"Jordan Yamamoto","270","21.9","0.588","0.706","0.583","1.294","0.754","0.616","0.449","10","17","98.5","24.8","2286","89.7","89.62","2","29","30","-0.1","6.24","108","154","111","149","303","319","282"
"9",663765,"Jake Woodford","360","2.5","0.000","0.000","0.000","0.000","0.000","0.047","0.049","0","2","91.1","-18.0","2284","93.1","93.49","2","3","6","0.4","6.44","121","160","113","154","297","341","295"
"312",548389,"Ross Stripling","815","38.3","0.353","0.500","0.289","0.853","0.512","0.468","0.350","24","68","92.5","20.1","2282","91.6","91.15","19","129","183","-0.4","5.99","111","159","120","146","293","317","295"
"1",592811,"Andrew Triggs","165","0.6","null","null","null","null","null","null","null","null","null","null","null","2282","86.8","87.20","0","0","1","0.4","6.50","122","148","99","152","285","324","294"
"56",647336,"Mike Soroka","199","28.1","0.400","0.000","0.444","0.400","0.379","0.404","0.407","4","10","88.2","-1.4","2281","92.7","91.53","3","25","31","-1.2","5.48","104","147","109","151","305","334","299"
"249",670912,"Johan Oviedo","444","56.1","0.254","0.237","0.260","0.492","0.352","0.407","0.340","15","59","93.6","14.4","2277","94.8","96.64","15","114","131","1.8","7.12","108","151","112","147","299","324","303"
