"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"476",545333,"Trevor Bauer","1165","40.9","0.140","0.170","0.173","0.310","0.224","0.223","0.149","14","100","92.3","32.5","2776","93.5","93.66","51","214","259","0.2","6.50","115","154","122","154","294","320","292"
"14",669203,"Corbin Burnes","1010","1.4","0.000","0.000","0.000","0.000","0.000","0.030","0.021","0","1","104.4","57.0","2742","96.2","96.66","3","6","8","0.5","6.42","108","151","122","157","298","321","293"
"340",572070,"Garrett Richards","788","43.1","0.263","0.063","0.280","0.325","0.282","0.328","0.294","21","80","89.5","12.8","2622","95.1","94.91","21","154","186","-0.2","6.13","115","149","135","145","304","335","316"
"482",501985,"Mike Minor","979","49.2","0.227","0.103","0.270","0.330","0.291","0.322","0.241","22","97","89.5","20.5","2589","90.6","89.97","56","226","254","-0.6","5.88","110","153","116","149","302","323","293"
"170",506433,"Yu Darvish","1153","14.7","0.205","0.051","0.444","0.256","0.208","0.146","0.138","8","39","92.0","24.3","2582","95.9","96.39","33","78","92","0.5","6.56","111","154","115","149","297","329","298"
"19",641672,"Thomas Hatch","441","4.3","0.000","0.000","0.000","0.000","0.276","0.379","0.190","0","3","88.4","35.0","2565","94.8","94.88","3","8","11","0.1","6.54","104","159","118","153","301","334","298"
"43",547179,"Michael Lorenzen","608","7.1","0.000","0.000","0.000","0.000","0.063","0.099","0.032","0","10","92.5","8.8","2563","96.5","95.56","8","19","24","-0.9","5.81","109","153","124","147","287","315","292"
"56",502188,"Jeff Samardzija","298","18.8","0.500","0.583","0.400","1.083","0.646","0.506","0.407","6","12","94.5","40.1","2557","90.3","90.67","6","28","28","0.4","6.46","114","166","121","151","299","320","302"
"266",458676,"Josh Lindblom","793","33.5","0.298","0.234","0.393","0.532","0.414","0.357","0.256","14","47","92.7","26.5","2551","90.1","90.21","32","117","146","0.1","6.29","108","153","118","151","296","318","299"
"323",621111,"Walker Buehler","600","53.8","0.102","0.017","0.167","0.119","0.165","0.199","0.129","6","59","89.3","25.8","2546","96.8","96.90","36","138","185","0.1","6.34","114","160","116","150","302","320","295"
"40",434378,"Justin Verlander","73","54.8","0.214","0.429","0.111","0.643","0.363","0.339","0.221","3","14","93.1","14.4","2524","94.9","94.14","1","22","17","-0.8","6.20","117","154","120","153","272","314","302"
"519",656302,"Dylan Cease","1085","47.8","0.254","0.246","0.253","0.500","0.377","0.405","0.309","31","122","91.0","14.1","2521","97.5","97.09","43","250","266","-0.4","6.00","109","150","114","149","300","322","299"
"250",543243,"Sonny Gray","968","25.8","0.250","0.227","0.290","0.477","0.322","0.271","0.227","11","44","86.8","7.5","2521","93.0","93.61","14","92","157","0.6","6.50","118","156","120","155","291","321","295"
"13",621052,"Alex Reyes","369","3.5","null","null","null","null","0.690","0.690","null","0","0","null","null","2519","97.0","97.12","2","2","11","0.1","6.34","111","157","121","151","289","323","304"
"84",664074,"Cody Ponce","265","31.7","0.125","0.250","0.077","0.375","0.275","0.449","0.351","2","16","91.3","17.9","2518","93.0","93.97","7","31","53","1.0","6.83","111","156","125","149","298","322","302"
"35",665759,"Ramon Rosso","194","18.0","0.143","0.000","0.250","0.143","0.333","0.308","0.083","1","7","91.1","25.5","2508","93.0","92.37","4","16","18","-0.6","5.97","105","148","112","145","300","326","294"
"14",657376,"Clarke Schmidt","126","11.1","0.000","0.000","0.000","0.000","0.235","0.340","0.163","0","4","96.6","25.3","2506","94.5","93.76","1","7","6","-0.7","5.80","108","153","110","149","294","319","285"
"635",543037,"Gerrit Cole","1203","52.8","0.226","0.240","0.235","0.466","0.310","0.305","0.230","33","146","92.2","22.6","2505","96.7","96.95","83","321","314","0.3","6.57","114","151","122","150","294","322","288"
"10",657571,"Caleb Ferguson","304","3.3","0.000","0.000","0.000","0.000","0.000","0.013","0.014","0","1","83.5","34.0","2504","95.3","95.34","1","7","3","0.0","6.16","119","162","126","148","293","321","293"
"434",605513,"Spencer Turnbull","963","45.1","0.198","0.111","0.273","0.309","0.306","0.356","0.242","16","81","90.8","16.6","2500","93.7","93.97","50","178","255","0.3","6.26","110","149","114","147","294","326","293"
"128",592761,"Caleb Smith","267","47.9","0.167","0.167","0.133","0.333","0.354","0.400","0.219","3","18","88.6","27.6","2496","92.0","90.34","8","46","82","-1.7","5.51","103","152","115","148","307","329","292"
"390",659275,"Dinelson Lamet","1046","37.3","0.286","0.176","0.343","0.462","0.345","0.334","0.283","26","91","88.6","16.9","2495","97.0","96.59","34","183","206","-0.4","6.08","116","151","137","147","303","332","314"
"701",458681,"Lance Lynn","1408","49.8","0.211","0.204","0.253","0.414","0.292","0.277","0.211","32","152","88.3","26.7","2492","94.0","93.98","103","351","347","0.0","6.36","111","156","114","150","299","322","296"
