"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"396",605156,"Aaron Brooks","1898","20.9","0.313","0.422","0.333","0.734","0.458","0.433","0.289","20","64","92.9","21.6","2075","91.8","91.09","25","151","244","-0.7","5.88","105","152","116","148","298","323","297"
"103",429722,"Ervin Santana","250","41.2","0.310","0.379","0.269","0.690","0.409","0.389","0.302","9","29","89.3","13.5","2070","90.0","89.57","3","53","50","-0.4","5.93","107","149","106","146","294","323","290"
"759",641154,"Pablo Lopez","1793","42.3","0.277","0.153","0.333","0.429","0.320","0.318","0.251","49","177","88.6","16.7","2069","93.6","94.29","74","365","388","0.7","6.70","108","156","117","148","297","322","297"
"1209",592351,"Jon Gray","2372","51.0","0.337","0.204","0.360","0.541","0.404","0.409","0.336","91","270","92.8","4.4","2066","96.0","96.06","75","545","657","0.1","6.07","114","152","113","148","305","332","307"
"856",643230,"Steven Brault","2001","42.8","0.280","0.228","0.326","0.508","0.365","0.360","0.264","54","193","89.8","17.4","2064","92.0","93.10","79","404","445","1.1","6.77","109","151","119","147","309","324","293"
"492",605446,"Dereck Rodriguez","1664","29.6","0.320","0.304","0.313","0.624","0.426","0.410","0.311","40","125","92.5","17.3","2063","90.5","91.26","33","209","276","0.8","6.49","111","150","112","147","294","325","293"
"59",677976,"Randy Dobnak","427","13.8","0.200","0.000","0.231","0.200","0.235","0.335","0.291","3","15","90.3","19.9","2062","93.5","92.41","6","30","29","-1.1","5.53","109","150","106","145","296","324","298"
"849",430935,"Cole Hamels","2394","35.5","0.317","0.248","0.350","0.565","0.408","0.399","0.290","51","161","94.1","19.3","2059","91.4","91.42","84","373","471","0.0","6.21","108","151","108","150","298","321","294"
"337",593679,"Gabriel Ynoa","1815","18.6","0.338","0.353","0.298","0.691","0.434","0.443","0.342","23","68","91.5","19.0","2057","93.2","92.09","28","155","182","-1.1","5.62","109","155","113","149","300","327","300"
"21",456387,"Ryan Feierabend","104","20.2","0.400","0.000","0.400","0.400","0.405","0.435","0.415","2","5","85.0","19.4","2056","85.7","86.03","2","11","10","0.3","6.37","102","148","113","144","311","328","298"
"552",543294,"Kyle Hendricks","2690","20.5","0.140","0.163","0.150","0.302","0.223","0.324","0.226","12","86","92.2","26.5","2044","87.2","86.70","68","248","303","-0.5","5.80","116","151","109","156","292","320","298"
"6",570632,"Jose Urena","1372","0.4","0.000","0.000","0.000","0.000","0.000","0.006","0.008","0","1","93.6","61.0","2044","94.8","94.22","1","3","3","-0.6","5.93","103","148","127","129","295","320","302"
"13",622072,"Alex Wood","586","2.2","0.333","0.333","0.500","0.667","0.406","0.301","0.327","1","3","61.4","12.5","2036","90.0","89.73","0","4","9","-0.3","6.02","116","152","111","147","292","313","287"
"362",642558,"Ariel Jurado","2045","17.7","0.351","0.325","0.365","0.675","0.453","0.400","0.281","27","77","89.3","20.7","2033","92.9","92.56","31","168","192","-0.3","6.02","112","156","113","148","291","322","299"
"971",608379,"Michael Wacha","2199","44.2","0.315","0.243","0.326","0.559","0.394","0.404","0.311","70","222","89.8","13.1","2029","92.9","93.79","57","478","488","0.9","6.63","109","151","111","148","297","322","296"
"495",474463,"Brett Anderson","2659","18.6","0.226","0.075","0.247","0.302","0.265","0.339","0.278","24","106","89.4","14.0","2028","89.4","88.88","25","218","274","-0.5","5.79","105","147","120","148","300","325","297"
"80",626929,"Lewis Thorpe","492","16.3","0.333","0.222","0.556","0.556","0.449","0.441","0.296","6","18","91.3","23.1","2027","91.1","92.65","9","33","47","1.6","7.01","106","152","111","144","311","322","290"
"128",656222,"Jalen Beeks","1820","7.0","0.409","0.227","0.533","0.636","0.483","0.406","0.306","9","22","92.8","12.6","2022","92.2","91.85","12","54","74","-0.4","6.11","107","158","113","147","293","324","301"
"84",660494,"Rogelio Armenteros","333","25.2","0.333","0.067","0.455","0.400","0.376","0.313","0.248","5","15","82.4","15.2","2021","90.4","90.63","11","36","48","0.2","6.30","112","154","119","149","291","318","294"
"955",500779,"Jose Quintana","2734","34.9","0.291","0.136","0.360","0.427","0.322","0.344","0.293","60","206","90.3","16.3","2017","91.3","91.88","87","413","540","0.6","6.49","110","151","111","150","298","320","294"
"188",543532,"Tim Melville","563","33.4","0.415","0.439","0.343","0.854","0.535","0.526","0.403","17","41","95.7","13.0","2006","89.2","89.60","6","79","108","0.4","6.26","114","153","114","149","307","338","308"
"354",621097,"Jacob Waguespack","1333","26.6","0.261","0.148","0.356","0.409","0.318","0.359","0.285","23","88","92.5","15.8","2004","92.1","92.48","49","183","169","0.4","6.43","110","154","117","151","308","332","299"
"157",663531,"Logan Allen","449","35.0","0.344","0.156","0.379","0.500","0.407","0.410","0.347","11","32","95.7","2.0","1999","92.3","92.23","7","58","96","-0.1","6.30","111","152","112","148","311","328","299"
"1182",501381,"Michael Pineda","2184","54.1","0.275","0.186","0.307","0.461","0.327","0.355","0.281","74","269","91.1","21.0","1999","92.5","92.45","119","597","578","-0.1","6.16","108","153","112","147","297","325","292"
"42",605498,"Andrew Suarez","538","7.8","0.500","0.500","0.500","1.000","0.634","0.637","0.493","5","10","94.6","25.6","1996","91.8","89.61","1","17","24","-2.2","4.90","107","147","109","143","304","320","293"
"171",543557,"Mike Montgomery","1575","10.9","0.375","0.344","0.346","0.719","0.497","0.481","0.373","12","32","95.4","13.6","1974","91.4","91.39","7","65","104","0.0","6.18","111","153","118","144","304","329","302"
